street_name,lat,lon
Foxwoods Boulevard,41.472855,-71.95377
Girard Avenue,41.588184,-73.03016
Sleepy Hollow Road,41.865093,-72.64211
Drexel Drive,41.80286,-72.56976
Viewpoint Drive,41.940075,-72.198296
Winterwood,41.90969,-72.71526
Worthington Rdg,41.615974,-72.7471
Scott Drive,41.829758,-72.54273
Glode Lane,41.792084,-72.57873
East Lake Drive,41.37492,-72.12024
Turkey Hill School Access Only,41.289246,-73.04367
Raymond Ter,41.107605,-73.40264
Wellsweep Lane,41.34078,-72.61076
Mowry Street,41.373585,-72.9001
Boston Post Road,41.368088,-72.20438
Overlook Drive,41.20525,-73.0788
Vine Street,41.779377,-72.63968
Wethersfield Avenue,41.72824,-72.66813
Shirecrest,41.807602,-72.80919
Kristen Lane,41.5934,-72.65413
Valley Brook Road,41.493137,-72.451385
Macarthur Road,41.242805,-73.20947
Ridgeview Road,41.500053,-73.17549
Howard Drive,41.38039,-72.929726
Round Hill Road,41.54271,-72.76532
Zinn Road,41.42109,-73.48387
Chapman Street,41.772675,-72.64293
Church Street,41.80347,-73.12556
High Street,41.222103,-73.059784
Ironwood Drive,41.40827,-73.52046
Bluff Avenue,41.27407,-72.49256
Newman Place,41.427998,-73.37742
Autumn Court,41.486088,-72.92828
Downs Street,41.403484,-73.46055
Country Drive,41.631756,-73.15379
Old Coach Xing,42.012096,-72.67636
South Windham Road,41.68921,-72.17936
Atlantic Street,41.04298,-73.54158
Bittersweet Way,41.35788,-71.927345
Dryden Street,41.04909,-73.556404
Saint Johns Acres,41.749718,-73.44666
Waterville Road,41.76582,-72.81919
Quarry Road,41.33793,-71.971275
Gaspar Road,41.249382,-73.36354
Testa Drive,41.653645,-72.8582
Cove Trail,41.29079,-72.558586
Buttrick Road,41.853817,-73.096306
Sherwood Farm Lane,41.03539,-73.65456
Camp Road,41.884716,-72.11885
Leatherman Road,41.326164,-72.6638
Lee Road,41.60474,-71.88737
Quail Village Run,41.5746,-72.67622
Edmonds Road,41.43964,-73.1605
Thompson Road,41.914013,-72.60677
Westview Place,41.043106,-73.58703
Berry Patch,41.8226,-72.54876
